split,sample_id,pc1,pc2,feature_norm,target_value,prompt_token_count,effective_max_tokens,mean_length,mean_relative_length,mu_log_rel,p_cap,p_loop,correct_rate,rollout_count,prompt_preview
train,13,-3.7217466831207275,-4.119330406188965,136.07275390625,0.0,156,30000,3080.2,0.10267333333333332,0.09734659425365706,0.0,0.1,1.0,10,<|im_start|>user ChIP-seq on a PFA-fixed sample with an antibody to the IKAROS transcription factor in human B cells ...
train,15,3.8805530071258545,-0.5617393851280212,134.84539794921875,0.6000000238418579,229,30000,23262.7,0.7754233333333334,0.5604815933959634,0.6,1.0,0.0,10,<|im_start|>user How many of the following compounds will exhibit optical activity? (Z)-1-chloro-2-methylbut-1-ene (3...
train,16,-7.746495723724365,2.863633871078491,134.28878784179688,0.0,166,30000,12759.1,0.42530333333333326,0.3537029380652926,0.0,0.9,0.7,10,<|im_start|>user What is the concentration of calcium ions in a solution containing 0.02 M stochiometric Ca-EDTA comp...
train,17,-5.23391580581665,4.335975646972656,134.27877807617188,0.0,253,30000,11290.0,0.3763333333333333,0.3148811676044228,0.0,0.6,0.0,10,"<|im_start|>user Two stars (Star_1 and Star_2) each have masses 1.5 and 1.2 times that of our Sun, respectively. Assu..."
train,18,10.90460205078125,3.618603467941284,135.617431640625,0.30000001192092896,551,30000,15548.3,0.5182766666666666,0.3971126840865488,0.3,0.7,0.5,10,<|im_start|>user The Michael reaction is a chemical process in organic chemistry where a nucleophile adds to a molecu...
train,19,-3.937937021255493,-6.2533698081970215,134.36036682128906,0.0,206,30000,2408.9,0.08029666666666666,0.07711470226258964,0.0,0.0,1.0,10,<|im_start|>user A common approximation made in many-body nuclear calculations of some interaction (for example an el...
train,21,-3.6204183101654053,-2.8283135890960693,135.59619140625,0.0,145,30000,959.0,0.031966666666666664,0.03125563403271052,0.0,0.0,0.0,10,"<|im_start|>user A student regrets that he fell asleep during a lecture in electrochemistry, facing the following inc..."
train,22,1.6083613634109497,-1.292785882949829,134.61685180664062,0.10000000149011612,283,30000,11702.4,0.39008,0.32038157074608076,0.1,0.7,0.0,10,"<|im_start|>user In an experiment, a researcher reacted ((2,2-dimethylbut-3-en-1-yl)oxy)benzene with hydrogen bromide..."
train,24,9.99515151977539,-1.3483668565750122,135.0161895751953,0.10000000149011612,371,30000,10987.0,0.36623333333333336,0.3021189423838672,0.1,0.4,0.0,10,<|im_start|>user Name reactions in chemistry refer to a specific set of well-known chemical reactions that are typica...
train,25,5.880940914154053,3.3838510513305664,134.67312622070312,0.0,380,30000,8367.0,0.27890000000000004,0.24556608354188536,0.0,0.3,0.0,10,"<|im_start|>user Dienes are organic compounds with two adjacent double bonds in their structure, and they exhibit uni..."
train,26,1.4440022706985474,-3.4914462566375732,134.9727325439453,0.0,171,30000,3428.5,0.11428333333333333,0.10762387720399882,0.0,0.2,0.7,10,"<|im_start|>user ""Oh, I know you,"" the ribonucleoprotein particle says to the nascent chain as they meet. ""Pause ther..."
train,27,8.963179588317871,5.081791877746582,133.9283447265625,0.10000000149011612,335,30000,12692.9,0.42309666666666673,0.3450630258466976,0.1,0.7,0.1,10,"<|im_start|>user S)-4-hydroxycyclohex-2-en-1-one is treated with tert-Butyldimethylsilyl chloride and triethylamine, ..."
train,29,-5.633501052856445,2.8437366485595703,134.19554138183594,0.0,109,30000,4622.3,0.15407666666666667,0.1416575788352751,0.0,0.2,0.1,10,<|im_start|>user A textile dye containing an extensively conjugated pi-electrons emits light with energy of 2.3393 eV...
train,30,5.791459083557129,4.3378520011901855,134.9924774169922,0.0,143,30000,5690.6,0.1896866666666667,0.17324727577390084,0.0,0.1,0.0,10,"<|im_start|>user toluene is treated with nitric acid and sulfuric acid, forming product 1. 1 is treated with MnO2 and..."
train,31,-8.090364456176758,3.569761037826538,135.36453247070312,0.0,164,30000,8296.6,0.2765533333333333,0.2433082694338348,0.0,0.1,1.0,10,<|im_start|>user What is the energy of the Relativistic Heavy Ion Collider (RHIC) so that the speed of the nucleus X ...
train,32,3.6433475017547607,0.536930501461029,135.4901885986328,0.0,331,30000,5962.9,0.19876333333333332,0.1809569309565699,0.0,0.3,0.3,10,"<|im_start|>user Identify the EXO product of the following [4+2] cycloaddition reaction. 2,5-dimethylthiophene + Fura..."
train,34,-0.029406195506453514,-2.6200201511383057,135.9371337890625,0.0,326,30000,5666.5,0.18888333333333335,0.17245105608354783,0.0,0.0,0.8,10,"<|im_start|>user Consider the Y-component of the intrinsic angular momentum operator, A of a muon be represented by a..."
train,35,-4.174063682556152,-3.109020948410034,133.5009765625,0.0,162,30000,5524.4,0.18414666666666668,0.16699061014776945,0.0,0.2,0.2,10,<|im_start|>user Observations of structures located at a distance of about 2.1 gigaparsecs (2.1 Gpc) are being carrie...
train,37,4.934142589569092,0.7662265300750732,134.8834991455078,0.10000000149011612,311,30000,10285.1,0.3428366666666666,0.2830123088244256,0.1,0.9,0.0,10,"<|im_start|>user Enamine reactions include nucleophilic substitutions, electrophilic additions, and the condensation ..."
train,38,-7.319080829620361,3.2395713329315186,136.6246337890625,0.0,251,30000,1694.4,0.056479999999999995,0.05488411085197296,0.0,0.0,1.0,10,<|im_start|>user We have a large ensemble of 10.000 (ten thousand) identical systems. Each system has a particle that...
train,39,1.4614975452423096,-8.154609680175781,133.48348999023438,0.0,181,30000,1672.7,0.05575666666666666,0.05414387328264453,0.0,0.0,0.0,10,<|im_start|>user Your overhear two chemists talking to each other as they leave a synthetic organic chemistry lab. On...
train,40,-6.387117385864258,0.10791309922933578,134.59500122070312,0.0,155,30000,8398.2,0.27993999999999997,0.24648378224866616,0.0,0.5,1.0,10,<|im_start|>user A light beam is propagating through a glass with index of refraction n. The glass is moving at const...
train,41,-7.918361186981201,6.431220054626465,134.8053741455078,0.20000000298023224,243,30000,11075.8,0.3691933333333333,0.2892468584368668,0.2,0.4,0.6,10,"<|im_start|>user Astronomers are studying a system of three exoplanets (Planet1, Planet2, and Planet3) with circular ..."
train,43,1.645822286605835,-14.371291160583496,133.7488250732422,0.0,321,30000,3039.7,0.10132333333333335,0.09578780805202242,0.0,0.2,0.0,10,<|im_start|>user A eukaryotic cell evolved a mechanism to turn macromolecular building blocks into energy. The proces...
train,45,-1.8325178623199463,0.7340003252029419,134.9027862548828,0.10000000149011612,107,30000,8769.7,0.2923233333333333,0.24353954009048392,0.1,0.7,0.0,10,<|im_start|>user Racemic 3-methylpent-1-ene is treated with Grubbs catalyst. How many possible products are there (ex...
